plate_group_id,y_number,assay,tier_id,assay_value,median_background_signal
4396,Y22322,FUVMO_sucrose,14,2.02848,0.3087
4396,Y22322,FUVMO_sucrose,14,2.00544,0.3087
4396,Y22322,FUVMO_sucrose,14,1.96368,0.3087
4396,Y22322,FUVMO_sucrose,14,2.13232,0.3087
4396,Y22322,FUVMO_sucrose,14,2.0688,0.3087
4396,Y22322,FUVMO_sucrose,14,2.00992,0.3087
4396,Y22322,FUVMO_sucrose,14,2.076,0.3087
4396,Y22322,FUVMO_sucrose,14,1.50656,0.3087
4396,Y22322,FUVMO_sucrose,14,2.00672,0.3087
4396,Y22322,FUVMO_sucrose,14,2.05536,0.3087
4396,Y22322,FUVMO_sucrose,14,2.0912,0.3087
4396,Y22322,FUVMO_sucrose,14,2.00336,0.3087
4396,Y22322,FUVMO_sucrose,14,2.00624,0.3087
4396,Y22322,FUVMO_sucrose,14,2.07952,0.3087
4396,Y22322,FUVMO_sucrose,14,1.93984,0.3087
4396,Y22322,FUVMO_sucrose,14,1.90784,0.3087
4396,Y22322,FUVMO_sucrose,14,2.05312,0.3087
4399,Y22322,FUVMO_sucrose,14,2.06752,0.3087
4399,Y22322,FUVMO_sucrose,14,2.11392,0.3087
4399,Y22322,FUVMO_sucrose,14,2.11984,0.3087
4543,Y22322,FUVMO_sucrose,14,1.884,0.3087
4132,Y22322,FUVMO_sucrose,14,2.055733333,0.345
4132,Y22322,FUVMO_sucrose,14,2.4116,0.345
4543,Y22322,FUVMO_sucrose,14,1.86784,0.3087
4132,Y22322,FUVMO_sucrose,14,1.800933333,0.345
3870,Y22322,FUVMO_sucrose,14,1.9325,0.3283
4132,Y22322,FUVMO_sucrose,14,2.304266667,0.345
4547,Y22322,FUVMO_sucrose,14,2.11408,0.3087
4547,Y22322,FUVMO_sucrose,14,2.08208,0.3087
4547,Y22322,FUVMO_sucrose,14,2.1712,0.3087
4547,Y22322,FUVMO_sucrose,14,1.83648,0.3087
4547,Y22322,FUVMO_sucrose,14,2.18816,0.3087
4547,Y22322,FUVMO_sucrose,14,2.0232,0.3087
NULL,Y22322,FUVMO_sucrose,14,2.4487,0.3283
NULL,Y22322,FUVMO_sucrose,14,2.6347,0.3283
NULL,Y22322,FUVMO_sucrose,14,2.6143,0.3283
3981,Y22322,FUVMO_sucrose,14,2.0941,0.3283
3981,Y22322,FUVMO_sucrose,14,1.9153,0.3283
4076,Y22322,FUVMO_sucrose,14,1.6917,0.3283
4076,Y22322,FUVMO_sucrose,14,1.7834,0.3283
4076,Y22322,FUVMO_sucrose,14,1.7733,0.3283
4076,Y22322,FUVMO_sucrose,14,1.6585,0.3283
4076,Y22322,FUVMO_sucrose,14,1.7267,0.3283
4150,Y22322,FUVMO_sucrose,14,2.1968,0.345
4150,Y22322,FUVMO_sucrose,14,1.9784,0.345
4150,Y22322,FUVMO_sucrose,14,2.034533333,0.345
4150,Y22322,FUVMO_sucrose,14,1.896133333,0.345
4150,Y22322,FUVMO_sucrose,14,1.921066667,0.345
4150,Y22322,FUVMO_sucrose,14,2.261333333,0.345
4150,Y22322,FUVMO_sucrose,14,2.2972,0.345
4150,Y22322,FUVMO_sucrose,14,2.22,0.345
4150,Y22322,FUVMO_sucrose,14,2.076266667,0.345
4150,Y22322,FUVMO_sucrose,14,2.0104,0.345
4150,Y22322,FUVMO_sucrose,14,2.152133333,0.345
4150,Y22322,FUVMO_sucrose,14,2.489066667,0.345
4150,Y22322,FUVMO_sucrose,14,1.9684,0.345
4150,Y22322,FUVMO_sucrose,14,2.406933333,0.345
4151,Y22322,FUVMO_sucrose,14,1.815066667,0.345
4151,Y22322,FUVMO_sucrose,14,1.429066667,0.345
4151,Y22322,FUVMO_sucrose,14,1.328933333,0.345
4151,Y22322,FUVMO_sucrose,14,2.033066667,0.345
4150,Y22322,FUVMO_sucrose,14,2.362133333,0.345
4151,Y22322,FUVMO_sucrose,14,1.7544,0.345
4151,Y22322,FUVMO_sucrose,14,0.200266667,0.345
4151,Y22322,FUVMO_sucrose,14,2.081066667,0.345
4151,Y22322,FUVMO_sucrose,14,1.6876,0.345
4151,Y22322,FUVMO_sucrose,14,1.894666667,0.345
4151,Y22322,FUVMO_sucrose,14,1.9756,0.345
4151,Y22322,FUVMO_sucrose,14,1.8976,0.345
4151,Y22322,FUVMO_sucrose,14,1.985733333,0.345
4151,Y22322,FUVMO_sucrose,14,2.016133333,0.345
4151,Y22322,FUVMO_sucrose,14,1.710666667,0.345
4151,Y22322,FUVMO_sucrose,14,1.985466667,0.345
4151,Y22322,FUVMO_sucrose,14,1.8752,0.345
4151,Y22322,FUVMO_sucrose,14,1.867066667,0.345
4151,Y22322,FUVMO_sucrose,14,1.968133333,0.345
4151,Y22322,FUVMO_sucrose,14,1.767066667,0.345
4151,Y22322,FUVMO_sucrose,14,1.936533333,0.345
4151,Y22322,FUVMO_sucrose,14,0.1672,0.345
4150,Y22322,FUVMO_sucrose,14,2.112133333,0.345
4150,Y22322,FUVMO_sucrose,14,2.389333333,0.345
4150,Y22322,FUVMO_sucrose,14,2.173066667,0.345
4150,Y22322,FUVMO_sucrose,14,2.174933333,0.345
4151,Y22322,FUVMO_sucrose,14,2.195066667,0.345
4245,Y22322,FUVMO_sucrose,14,1.857066667,0.345
4245,Y22322,FUVMO_sucrose,14,1.726,0.345
4245,Y22322,FUVMO_sucrose,14,1.857466667,0.345
4245,Y22322,FUVMO_sucrose,14,2.049066667,0.345
4245,Y22322,FUVMO_sucrose,14,1.832533333,0.345
4245,Y22322,FUVMO_sucrose,14,1.967466667,0.345
4245,Y22322,FUVMO_sucrose,14,2.0196,0.345
4245,Y22322,FUVMO_sucrose,14,1.835333333,0.345
4245,Y22322,FUVMO_sucrose,14,2.048266667,0.345
4245,Y22322,FUVMO_sucrose,14,2.0144,0.345
4245,Y22322,FUVMO_sucrose,14,1.8496,0.345
4245,Y22322,FUVMO_sucrose,14,1.8532,0.345
4245,Y22322,FUVMO_sucrose,14,1.921333333,0.345
4245,Y22322,FUVMO_sucrose,14,1.972266667,0.345
4245,Y22322,FUVMO_sucrose,14,1.8944,0.345
4245,Y22322,FUVMO_sucrose,14,2.001066667,0.345
4245,Y22322,FUVMO_sucrose,14,2.0896,0.345
4245,Y22322,FUVMO_sucrose,14,1.742266667,0.345
4245,Y22322,FUVMO_sucrose,14,1.912133333,0.345
4245,Y22322,FUVMO_sucrose,14,1.600133333,0.345
4245,Y22322,FUVMO_sucrose,14,1.986533333,0.345
4336,Y22322,FUVMO_sucrose,14,2.04752,0.3087
4336,Y22322,FUVMO_sucrose,14,2.04688,0.3087
4336,Y22322,FUVMO_sucrose,14,2.00192,0.3087
4336,Y22322,FUVMO_sucrose,14,1.97424,0.3087
4336,Y22322,FUVMO_sucrose,14,2.00224,0.3087
4336,Y22322,FUVMO_sucrose,14,1.75984,0.3087
4336,Y22322,FUVMO_sucrose,14,1.90496,0.3087
4336,Y22322,FUVMO_sucrose,14,2.03472,0.3087
4336,Y22322,FUVMO_sucrose,14,1.87408,0.3087
4336,Y22322,FUVMO_sucrose,14,2.27392,0.3087
4457,Y22322,FUVMO_sucrose,14,2.02832,0.3087
4457,Y22322,FUVMO_sucrose,14,2.1136,0.3087
4457,Y22322,FUVMO_sucrose,14,1.85392,0.3087
4457,Y22322,FUVMO_sucrose,14,1.93088,0.3087
4457,Y22322,FUVMO_sucrose,14,1.54432,0.3087
4457,Y22322,FUVMO_sucrose,14,1.95472,0.3087
4457,Y22322,FUVMO_sucrose,14,2.13984,0.3087
4457,Y22322,FUVMO_sucrose,14,2.11168,0.3087
4457,Y22322,FUVMO_sucrose,14,2.03344,0.3087
4457,Y22322,FUVMO_sucrose,14,2.13072,0.3087
4457,Y22322,FUVMO_sucrose,14,2.14976,0.3087
4457,Y22322,FUVMO_sucrose,14,2.07216,0.3087
4457,Y22322,FUVMO_sucrose,14,2.06656,0.3087
4585,Y22322,FUVMO_sucrose,14,2.0376,0.3087
4585,Y22322,FUVMO_sucrose,14,1.79776,0.3087
4151,Y22322,FUVMO_sucrose,14,1.7532,0.345
4151,Y22322,FUVMO_sucrose,14,1.636933333,0.345
4150,Y22322,FUVMO_sucrose,14,2.563066667,0.345
3981,Y22322,FUVMO_sucrose,14,1.9741,0.3283
NULL,Y22322,FUVMO_sucrose,14,0.3358,0.3283
4112,Y22322,FUVMO_sucrose,14,2.1904,0.3283
4112,Y22322,FUVMO_sucrose,14,2.3325,0.3283
4396,Y22322,FUVMO_sucrose,14,2.02848,0.3087
4396,Y22322,FUVMO_sucrose,14,2.13424,0.3087
4396,Y22322,FUVMO_sucrose,14,2.04976,0.3087
4396,Y22322,FUVMO_sucrose,14,1.984,0.3087
4396,Y22322,FUVMO_sucrose,14,2.00848,0.3087
4396,Y22322,FUVMO_sucrose,14,2.02656,0.3087
4396,Y22322,FUVMO_sucrose,14,1.78992,0.3087
4396,Y22322,FUVMO_sucrose,14,2.06032,0.3087
4396,Y22322,FUVMO_sucrose,14,2.07552,0.3087
4396,Y22322,FUVMO_sucrose,14,1.9824,0.3087
4396,Y22322,FUVMO_sucrose,14,2.04704,0.3087
4396,Y22322,FUVMO_sucrose,14,1.97856,0.3087
4543,Y22322,FUVMO_sucrose,14,1.8008,0.3087
4543,Y22322,FUVMO_sucrose,14,1.73344,0.3087
4543,Y22322,FUVMO_sucrose,14,1.81712,0.3087
4543,Y22322,FUVMO_sucrose,14,1.93584,0.3087
4580,Y22322,FUVMO_sucrose,14,1.74784,0.3087
4551,Y22322,FUVMO_sucrose,14,1.86688,0.3087
4551,Y22322,FUVMO_sucrose,14,1.93952,0.3087
4112,Y22322,FUVMO_sucrose,14,2.4213,0.3283
4588,Y22322,FUVMO_sucrose,14,1.95376,0.3087
4543,Y22322,FUVMO_sucrose,14,1.92704,0.3087
4543,Y22322,FUVMO_sucrose,14,1.89552,0.3087
4551,Y22322,FUVMO_sucrose,14,1.99168,0.3087
4547,Y22322,FUVMO_sucrose,14,2.05776,0.3087
3981,Y22322,FUVMO_sucrose,14,1.9993,0.3283
3981,Y22322,FUVMO_sucrose,14,1.915,0.3283
3981,Y22322,FUVMO_sucrose,14,1.9867,0.3283
3981,Y22322,FUVMO_sucrose,14,1.9369,0.3283
3981,Y22322,FUVMO_sucrose,14,1.9658,0.3283
3981,Y22322,FUVMO_sucrose,14,1.9577,0.3283
3981,Y22322,FUVMO_sucrose,14,1.9935,0.3283
3981,Y22322,FUVMO_sucrose,14,1.9985,0.3283
3981,Y22322,FUVMO_sucrose,14,1.7429,0.3283
4092,Y22322,FUVMO_sucrose,14,1.8025,0.3283
4092,Y22322,FUVMO_sucrose,14,1.2969,0.3283
4092,Y22322,FUVMO_sucrose,14,0.7829,0.3283
4092,Y22322,FUVMO_sucrose,14,1.2183,0.3283
4092,Y22322,FUVMO_sucrose,14,1.0328,0.3283
4092,Y22322,FUVMO_sucrose,14,0.9547,0.3283
4092,Y22322,FUVMO_sucrose,14,1.8534,0.3283
4092,Y22322,FUVMO_sucrose,14,1.8938,0.3283
4092,Y22322,FUVMO_sucrose,14,1.7969,0.3283
4092,Y22322,FUVMO_sucrose,14,1.3941,0.3283
4092,Y22322,FUVMO_sucrose,14,1.3357,0.3283
4092,Y22322,FUVMO_sucrose,14,1.5725,0.3283
4092,Y22322,FUVMO_sucrose,14,1.2245,0.3283
4092,Y22322,FUVMO_sucrose,14,0.9728,0.3283
4166,Y22322,FUVMO_sucrose,14,2.1744,0.345
4166,Y22322,FUVMO_sucrose,14,2.134,0.345
4166,Y22322,FUVMO_sucrose,14,1.744666667,0.345
4166,Y22322,FUVMO_sucrose,14,1.8992,0.345
4166,Y22322,FUVMO_sucrose,14,1.757333333,0.345
4166,Y22322,FUVMO_sucrose,14,1.7524,0.345
4166,Y22322,FUVMO_sucrose,14,1.995333333,0.345
4166,Y22322,FUVMO_sucrose,14,1.873466667,0.345
4166,Y22322,FUVMO_sucrose,14,2.072933333,0.345
4166,Y22322,FUVMO_sucrose,14,2.131066667,0.345
4166,Y22322,FUVMO_sucrose,14,1.916933333,0.345
4166,Y22322,FUVMO_sucrose,14,1.928933333,0.345
4166,Y22322,FUVMO_sucrose,14,1.9768,0.345
4166,Y22322,FUVMO_sucrose,14,1.989066667,0.345
4166,Y22322,FUVMO_sucrose,14,1.781866667,0.345
4358,Y22322,FUVMO_sucrose,14,2.00272,0.3087
4358,Y22322,FUVMO_sucrose,14,2.07248,0.3087
4358,Y22322,FUVMO_sucrose,14,2.1008,0.3087
4358,Y22322,FUVMO_sucrose,14,2.04016,0.3087
4358,Y22322,FUVMO_sucrose,14,2.11008,0.3087
4358,Y22322,FUVMO_sucrose,14,2.09392,0.3087
4358,Y22322,FUVMO_sucrose,14,1.98432,0.3087
4358,Y22322,FUVMO_sucrose,14,2.12224,0.3087
4358,Y22322,FUVMO_sucrose,14,2.20416,0.3087
4358,Y22322,FUVMO_sucrose,14,2.11376,0.3087
4358,Y22322,FUVMO_sucrose,14,2.1176,0.3087
4358,Y22322,FUVMO_sucrose,14,2.12544,0.3087
4551,Y22322,FUVMO_sucrose,14,1.83696,0.3087
4585,Y22322,FUVMO_sucrose,14,1.92032,0.3087
4551,Y22322,FUVMO_sucrose,14,1.47152,0.3087
4580,Y22322,FUVMO_sucrose,14,1.96928,0.3087
4588,Y22322,FUVMO_sucrose,14,1.79776,0.3087
4358,Y22322,FUVMO_sucrose,14,2.0952,0.3087
4358,Y22322,FUVMO_sucrose,14,2.0864,0.3087
4358,Y22322,FUVMO_sucrose,14,2.10032,0.3087
4358,Y22322,FUVMO_sucrose,14,2.06512,0.3087
4358,Y22322,FUVMO_sucrose,14,2.10864,0.3087
4092,Y22322,FUVMO_sucrose,14,1.6383,0.3283
4551,Y22322,FUVMO_sucrose,14,1.61808,0.3087
4358,Y22322,FUVMO_sucrose,14,2.09312,0.3087
4358,Y22322,FUVMO_sucrose,14,2.18672,0.3087
4358,Y22322,FUVMO_sucrose,14,2.1296,0.3087
4358,Y22322,FUVMO_sucrose,14,2.03184,0.3087
4358,Y22322,FUVMO_sucrose,14,2.1344,0.3087
4358,Y22322,FUVMO_sucrose,14,1.87584,0.3087
4358,Y22322,FUVMO_sucrose,14,2.03488,0.3087
4358,Y22322,FUVMO_sucrose,14,2.0704,0.3087
4481,Y22322,FUVMO_sucrose,14,2.192,0.3087
4547,Y22322,FUVMO_sucrose,14,2.0832,0.3087
3651,Y22322,FUVMO_sucrose,14,2.2822,0.3283
3651,Y22322,FUVMO_sucrose,14,2.313,0.3283
3651,Y22322,FUVMO_sucrose,14,2.2697,0.3283
3651,Y22322,FUVMO_sucrose,14,2.3235,0.3283
3651,Y22322,FUVMO_sucrose,14,2.4662,0.3283
3651,Y22322,FUVMO_sucrose,14,2.355,0.3283
3776,Y22322,FUVMO_sucrose,14,2.178,0.3283
3776,Y22322,FUVMO_sucrose,14,2.127,0.3283
3776,Y22322,FUVMO_sucrose,14,2.1069,0.3283
3779,Y22322,FUVMO_sucrose,14,2.1165,0.3283
3779,Y22322,FUVMO_sucrose,14,2.1857,0.3283
3779,Y22322,FUVMO_sucrose,14,2.2055,0.3283
3779,Y22322,FUVMO_sucrose,14,2.1451,0.3283
3779,Y22322,FUVMO_sucrose,14,2.2411,0.3283
3779,Y22322,FUVMO_sucrose,14,2.0663,0.3283
3779,Y22322,FUVMO_sucrose,14,2.076,0.3283
3779,Y22322,FUVMO_sucrose,14,2.1263,0.3283
3779,Y22322,FUVMO_sucrose,14,2.1451,0.3283
3779,Y22322,FUVMO_sucrose,14,2.1369,0.3283
NULL,Y22322,FUVMO_sucrose,14,2.4852,0.3283
3948,Y22322,FUVMO_sucrose,14,1.8918,0.3283
3948,Y22322,FUVMO_sucrose,14,1.8169,0.3283
3948,Y22322,FUVMO_sucrose,14,1.874,0.3283
3948,Y22322,FUVMO_sucrose,14,1.8933,0.3283
3948,Y22322,FUVMO_sucrose,14,1.8777,0.3283
3948,Y22322,FUVMO_sucrose,14,1.9151,0.3283
3948,Y22322,FUVMO_sucrose,14,1.8882,0.3283
3948,Y22322,FUVMO_sucrose,14,1.9052,0.3283
3948,Y22322,FUVMO_sucrose,14,1.9041,0.3283
3948,Y22322,FUVMO_sucrose,14,1.8891,0.3283
3948,Y22322,FUVMO_sucrose,14,1.866,0.3283
3948,Y22322,FUVMO_sucrose,14,1.9446,0.3283
3948,Y22322,FUVMO_sucrose,14,1.9243,0.3283
3948,Y22322,FUVMO_sucrose,14,1.8441,0.3283
3948,Y22322,FUVMO_sucrose,14,1.834,0.3283
3948,Y22322,FUVMO_sucrose,14,1.9232,0.3283
3948,Y22322,FUVMO_sucrose,14,1.9209,0.3283
3948,Y22322,FUVMO_sucrose,14,1.8677,0.3283
3948,Y22322,FUVMO_sucrose,14,2.031,0.3283
3948,Y22322,FUVMO_sucrose,14,1.8268,0.3283
3948,Y22322,FUVMO_sucrose,14,1.8299,0.3283
4375,Y22322,FUVMO_sucrose,14,2.06656,0.3087
4375,Y22322,FUVMO_sucrose,14,2.18176,0.3087
4375,Y22322,FUVMO_sucrose,14,2.22336,0.3087
4375,Y22322,FUVMO_sucrose,14,2.09376,0.3087
4375,Y22322,FUVMO_sucrose,14,2.18608,0.3087
4375,Y22322,FUVMO_sucrose,14,1.97968,0.3087
4375,Y22322,FUVMO_sucrose,14,2.01648,0.3087
4375,Y22322,FUVMO_sucrose,14,1.90176,0.3087
4375,Y22322,FUVMO_sucrose,14,2.05696,0.3087
4375,Y22322,FUVMO_sucrose,14,2.05808,0.3087
4375,Y22322,FUVMO_sucrose,14,2.0248,0.3087
4375,Y22322,FUVMO_sucrose,14,2.06272,0.3087
4496,Y22322,FUVMO_sucrose,14,2.01568,0.3087
4496,Y22322,FUVMO_sucrose,14,2.2168,0.3087
4496,Y22322,FUVMO_sucrose,14,1.764,0.3087
4496,Y22322,FUVMO_sucrose,14,2.23536,0.3087
4496,Y22322,FUVMO_sucrose,14,1.91376,0.3087
4496,Y22322,FUVMO_sucrose,14,2.09008,0.3087
4496,Y22322,FUVMO_sucrose,14,2.00128,0.3087
4496,Y22322,FUVMO_sucrose,14,1.87696,0.3087
4496,Y22322,FUVMO_sucrose,14,1.96368,0.3087
4496,Y22322,FUVMO_sucrose,14,1.69744,0.3087
4496,Y22322,FUVMO_sucrose,14,1.86096,0.3087
4496,Y22322,FUVMO_sucrose,14,2.09632,0.3087
4496,Y22322,FUVMO_sucrose,14,2.05296,0.3087
4496,Y22322,FUVMO_sucrose,14,2.08208,0.3087
4496,Y22322,FUVMO_sucrose,14,1.85488,0.3087
4534,Y22322,FUVMO_sucrose,14,1.91792,0.3087
4534,Y22322,FUVMO_sucrose,14,1.8696,0.3087
4535,Y22322,FUVMO_sucrose,14,1.892,0.3087
4535,Y22322,FUVMO_sucrose,14,1.72768,0.3087
4580,Y22322,FUVMO_sucrose,14,1.81504,0.3087
4588,Y22322,FUVMO_sucrose,14,1.85344,0.3087
4588,Y22322,FUVMO_sucrose,14,1.94272,0.3087
4375,Y22322,FUVMO_sucrose,14,2.06976,0.3087
4375,Y22322,FUVMO_sucrose,14,2.15216,0.3087
4535,Y22322,FUVMO_sucrose,14,1.6824,0.3087
4496,Y22322,FUVMO_sucrose,14,2.06192,0.3087
4496,Y22322,FUVMO_sucrose,14,1.99296,0.3087
4496,Y22322,FUVMO_sucrose,14,1.68224,0.3087
4375,Y22322,FUVMO_sucrose,14,1.93248,0.3087
4375,Y22322,FUVMO_sucrose,14,2.06736,0.3087
4375,Y22322,FUVMO_sucrose,14,2.0752,0.3087
4375,Y22322,FUVMO_sucrose,14,2.03808,0.3087
4375,Y22322,FUVMO_sucrose,14,2.06176,0.3087
4375,Y22322,FUVMO_sucrose,14,1.98288,0.3087
4375,Y22322,FUVMO_sucrose,14,2.08368,0.3087
4551,Y22322,FUVMO_sucrose,14,1.87536,0.3087
4375,Y22322,FUVMO_sucrose,14,2.13872,0.3087
4547,Y22322,FUVMO_sucrose,14,2.19344,0.3087
4547,Y22322,FUVMO_sucrose,14,2.07696,0.3087
3747,Y22322,FUVMO_sucrose,14,1.8645,0.3283
3747,Y22322,FUVMO_sucrose,14,1.8667,0.3283
3747,Y22322,FUVMO_sucrose,14,2.0604,0.3283
3747,Y22322,FUVMO_sucrose,14,2.1118,0.3283
3747,Y22322,FUVMO_sucrose,14,2.1454,0.3283
3747,Y22322,FUVMO_sucrose,14,1.8538,0.3283
3747,Y22322,FUVMO_sucrose,14,2.0545,0.3283
3747,Y22322,FUVMO_sucrose,14,1.8493,0.3283
3747,Y22322,FUVMO_sucrose,14,2.1661,0.3283
3747,Y22322,FUVMO_sucrose,14,2.1181,0.3283
3747,Y22322,FUVMO_sucrose,14,2.0465,0.3283
3747,Y22322,FUVMO_sucrose,14,2.1299,0.3283
3747,Y22322,FUVMO_sucrose,14,2.0271,0.3283
3747,Y22322,FUVMO_sucrose,14,1.9989,0.3283
3747,Y22322,FUVMO_sucrose,14,2.0111,0.3283
3747,Y22322,FUVMO_sucrose,14,1.9595,0.3283
3747,Y22322,FUVMO_sucrose,14,2.0501,0.3283
3747,Y22322,FUVMO_sucrose,14,1.9535,0.3283
3810,Y22322,FUVMO_sucrose,14,2.2139,0.3283
